stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
21015,2011-06,B1_last_month,4.447800,product,12,C,False
21018,2011-06,B1_last_month,5.930400,product,11,C,False
21025,2011-06,B1_last_month,11.860800,product,12,C,False
21026,2011-06,B1_last_month,32.617200,product,12,C,False
21027,2011-06,B1_last_month,22.980300,product,12,C,False
21028,2011-06,B1_last_month,27.428100,product,12,C,False
21030,2011-06,B1_last_month,14.826000,product,12,C,False
21031,2011-06,B1_last_month,8.895600,product,12,C,False
21032,2011-06,B1_last_month,22.239000,product,12,C,False
21033,2011-06,B1_last_month,90.438600,product,12,A,False
21034,2011-06,B1_last_month,111.195000,product,12,B,False
21035,2011-06,B1_last_month,229.803000,product,12,A,False
21038,2011-06,B1_last_month,10.378200,product,12,C,False
21039,2011-06,B1_last_month,43.736700,product,12,B,False
21040,2011-06,B1_last_month,9.636900,product,12,B,False
21041,2011-06,B1_last_month,72.647400,product,12,A,False
21042,2011-06,B1_last_month,19.273800,product,12,A,False
21043,2011-06,B1_last_month,14.084700,product,12,B,False
21051,2011-06,B1_last_month,28.169400,product,12,B,False
21054,2011-06,B1_last_month,14.826000,product,12,A,False
21055,2011-06,B1_last_month,9.636900,product,12,B,False
21056,2011-06,B1_last_month,22.239000,product,12,A,False
21058,2011-06,B1_last_month,78.577800,product,12,B,False
21059,2011-06,B1_last_month,51.891000,product,12,B,False
21060,2011-06,B1_last_month,28.910700,product,12,C,False
21061,2011-06,B1_last_month,18.532500,product,12,C,False
21062,2011-06,B1_last_month,14.826000,product,12,C,False
21063,2011-06,B1_last_month,44.478000,product,12,B,False
21064,2011-06,B1_last_month,5.189100,product,12,A,False
21065,2011-06,B1_last_month,6.671700,product,12,B,False
21066,2011-06,B1_last_month,21.497700,product,12,B,False
21067,2011-06,B1_last_month,142.329600,product,12,A,False
21068,2011-06,B1_last_month,126.762300,product,12,A,False
21069,2011-06,B1_last_month,164.568600,product,12,A,False
21070,2011-06,B1_last_month,56.338800,product,12,B,False
21071,2011-06,B1_last_month,134.175300,product,12,A,False
21078,2011-06,B1_last_month,381.769500,product,12,A,False
21080,2011-06,B1_last_month,574.507500,product,12,A,False
21082,2011-06,B1_last_month,24.462900,product,12,B,False
21084,2011-06,B1_last_month,27.428100,product,12,C,False
21086,2011-06,B1_last_month,309.863400,product,12,A,False
21087,2011-06,B1_last_month,5.930400,product,12,C,False
21088,2011-06,B1_last_month,25.204200,product,12,B,False
21089,2011-06,B1_last_month,4.447800,product,12,C,False
21090,2011-06,B1_last_month,39.288900,product,12,B,False
21094,2011-06,B1_last_month,701.269800,product,12,A,False
21095,2011-06,B1_last_month,19.273800,product,12,C,False
21096,2011-06,B1_last_month,65.975700,product,12,B,False
21098,2011-06,B1_last_month,92.662500,product,12,A,False
21100,2011-06,B1_last_month,14.826000,product,12,A,False
21106,2011-06,B1_last_month,30.393300,product,12,B,False
21107,2011-06,B1_last_month,48.184500,product,12,A,False
21108,2011-06,B1_last_month,163.827300,product,12,A,False
21109,2011-06,B1_last_month,22.239000,product,12,A,False
21110,2011-06,B1_last_month,50.408400,product,12,A,False
21111,2011-06,B1_last_month,28.169400,product,12,B,False
21112,2011-06,B1_last_month,126.762300,product,12,A,False
21114,2011-06,B1_last_month,64.493100,product,12,A,False
21115,2011-06,B1_last_month,12.602100,product,12,A,False
21116,2011-06,B1_last_month,20.015100,product,12,A,False
21117,2011-06,B1_last_month,8.895600,product,12,C,False
21120,2011-06,B1_last_month,2.965200,abc_group,5,C,False
21121,2011-06,B1_last_month,319.500300,product,12,A,False
21122,2011-06,B1_last_month,113.418900,product,12,A,False
21123,2011-06,B1_last_month,130.468800,product,12,B,False
21124,2011-06,B1_last_month,156.414300,product,12,A,False
21125,2011-06,B1_last_month,18.532500,product,12,B,False
21126,2011-06,B1_last_month,20.756400,product,12,B,False
21128,2011-06,B1_last_month,2.223900,product,12,C,False
21129,2011-06,B1_last_month,8.895600,product,12,C,False
21131,2011-06,B1_last_month,3.706500,product,12,B,False
21132,2011-06,B1_last_month,4.447800,product,12,C,False
21135,2011-06,B1_last_month,77.095200,product,12,A,False
21136,2011-06,B1_last_month,155.673000,product,12,A,False
21137,2011-06,B1_last_month,478.879800,product,12,A,False
21143,2011-06,B1_last_month,113.418900,product,12,A,False
21144,2011-06,B1_last_month,12.602100,product,12,C,False
21145,2011-06,B1_last_month,53.373600,product,12,B,False
21147,2011-06,B1_last_month,3.706500,product,12,C,False
21154,2011-06,B1_last_month,83.766900,product,12,A,False
21155,2011-06,B1_last_month,157.155600,product,12,A,False
21156,2011-06,B1_last_month,142.329600,product,12,A,False
21157,2011-06,B1_last_month,14.826000,product,12,B,False
21158,2011-06,B1_last_month,39.288900,product,12,B,False
21159,2011-06,B1_last_month,22.239000,product,12,B,False
21160,2011-06,B1_last_month,0.741300,product,12,C,False
21161,2011-06,B1_last_month,41.512800,product,12,B,False
21162,2011-06,B1_last_month,26.686800,product,12,B,False
21163,2011-06,B1_last_month,21.497700,product,12,B,False
21164,2011-06,B1_last_month,180.135900,product,12,A,False
21165,2011-06,B1_last_month,185.325000,product,12,A,False
21166,2011-06,B1_last_month,309.863400,product,12,A,False
21167,2011-06,B1_last_month,42.254100,product,12,C,False
21169,2011-06,B1_last_month,135.657900,product,12,A,False
21171,2011-06,B1_last_month,76.353900,product,12,B,False
21172,2011-06,B1_last_month,210.529200,product,12,A,False
21174,2011-06,B1_last_month,144.553500,product,12,A,False
21175,2011-06,B1_last_month,596.746500,product,12,A,False
